url,triplet
https://www.equipmentsalesandsurplus.com/v/vspfiles/photos/1610086K-2T.jpg,"[{'head': 'table sawing', 'type': 'subclass of', 'tail': 'machine'}]"
https://www.equipmentsalesandsurplus.com/v/vspfiles/photos/1610086K-2T.jpg,"[{'head': 'table sawing machine', 'type': 'subclass of', 'tail': 'white background'}]"
https://www.equipmentsalesandsurplus.com/v/vspfiles/photos/1610086K-2T.jpg,"[{'head': 'table sawing machine', 'type': 'has part', 'tail': 'white background'}]"
https://texasfurniturehut.com/images/thumbs/0006596_elijah-leather-power-recliner_400.jpeg,"[{'head': 'recliner', 'type': 'subclass of', 'tail': 'chair'}]"
https://texasfurniturehut.com/images/thumbs/0006596_elijah-leather-power-recliner_400.jpeg,"[{'head': 'leather', 'type': 'subclass of', 'tail': 'chair'}]"
https://texasfurniturehut.com/images/thumbs/0006596_elijah-leather-power-recliner_400.jpeg,"[{'head': 'chair', 'type': 'different from', 'tail': 'recliner'}]"
https://cdn.shopify.com/s/files/1/1909/0703/products/28025v_1024x1024.jpg?v=1521740196,"[{'head': 'sled', 'type': 'subclass of', 'tail': 'dog team'}]"
https://cdn.shopify.com/s/files/1/1909/0703/products/28025v_1024x1024.jpg?v=1521740196,"[{'head': 'sled', 'type': 'subclass of', 'tail': 'dog'}]"
https://cdn.shopify.com/s/files/1/1909/0703/products/28025v_1024x1024.jpg?v=1521740196,"[{'head': 'sled', 'type': 'used by', 'tail': 'dog team'}]"
https://kelliesdesigns.net/wp-content/uploads/2019/06/500-13a-264x300.jpg,"[{'head': 'police officer', 'type': 'employer', 'tail': 'police'}]"
https://kelliesdesigns.net/wp-content/uploads/2019/06/500-13a-264x300.jpg,"[{'head': ""'a pair of key chains with a police officer on them'"", 'type': 'instance of', 'tail': 'key chain'}]"
https://kelliesdesigns.net/wp-content/uploads/2019/06/500-13a-264x300.jpg,"[{'head': 'police officer', 'type': 'field of this occupation', 'tail': 'police'}]"
https://cdn.houseplansservices.com/product/9ea673f7d2d5a70f4a34a306dbdada59947096a3c5aef579733e8af160f9d8f8/w300x200.jpg?v=5,"[{'head': 'computer rendering', 'type': 'part of', 'tail': 'computer'}]"
https://cdn.houseplansservices.com/product/9ea673f7d2d5a70f4a34a306dbdada59947096a3c5aef579733e8af160f9d8f8/w300x200.jpg?v=5,"[{'head': 'rendering', 'type': 'part of', 'tail': 'computer'}]"
https://cdn.houseplansservices.com/product/9ea673f7d2d5a70f4a34a306dbdada59947096a3c5aef579733e8af160f9d8f8/w300x200.jpg?v=5,"[{'head': 'computer rendering', 'type': 'depicts', 'tail': 'house'}]"
"https://static.wixstatic.com/media/fe90a3_a7df6879bcc74fa2a30a8d001b459447~mv2_d_3648_2736_s_4_2.jpg/v1/fill/w_454,h_341,fp_0.50_0.50,q_90/fe90a3_a7df6879bcc74fa2a30a8d001b459447~mv2_d_3648_2736_s_4_2.jpg","[{'head': 'Grand Canyon', 'type': 'instance of', 'tail': 'canyon'}]"
"https://static.wixstatic.com/media/fe90a3_a7df6879bcc74fa2a30a8d001b459447~mv2_d_3648_2736_s_4_2.jpg/v1/fill/w_454,h_341,fp_0.50_0.50,q_90/fe90a3_a7df6879bcc74fa2a30a8d001b459447~mv2_d_3648_2736_s_4_2.jpg","[{'head': 'canyon', 'type': 'has part', 'tail': 'grand canyon'}]"
"https://static.wixstatic.com/media/fe90a3_a7df6879bcc74fa2a30a8d001b459447~mv2_d_3648_2736_s_4_2.jpg/v1/fill/w_454,h_341,fp_0.50_0.50,q_90/fe90a3_a7df6879bcc74fa2a30a8d001b459447~mv2_d_3648_2736_s_4_2.jpg","[{'head': 'Grand Canyon', 'type': 'located in the administrative territorial entity', 'tail': 'Utah'}]"
https://www.teslarati.com/wp-content/uploads/2020/02/Pad-39A-F9-FH-mobile-service-tower-renders-SpaceX-1.png,"[{'head': 'clock', 'type': 'part of', 'tail': 'tower'}]"
https://www.teslarati.com/wp-content/uploads/2020/02/Pad-39A-F9-FH-mobile-service-tower-renders-SpaceX-1.png,"[{'head': 'tower', 'type': 'has part', 'tail': 'clock'}]"
https://www.teslarati.com/wp-content/uploads/2020/02/Pad-39A-F9-FH-mobile-service-tower-renders-SpaceX-1.png,"[{'head': 'tower', 'type': 'has part', 'tail': 'clock'}, {'head': 'clock', 'type': 'part of', 'tail': 'tower'}]"
https://mixandmatchmama.com/wp-content/uploads/2014/07/Mexican-Paninis.jpg,"[{'head': 'sandwich', 'type': 'part of', 'tail': 'plate'}]"
https://mixandmatchmama.com/wp-content/uploads/2014/07/Mexican-Paninis.jpg,"[{'head': 'sandwich', 'type': 'has part', 'tail': 'plate'}]"
https://mixandmatchmama.com/wp-content/uploads/2014/07/Mexican-Paninis.jpg,"[{'head': 'sandwich', 'type': 'uses', 'tail': 'plate'}]"
https://m.media-amazon.com/images/I/410sWyj2EcL._SL500_.jpg,"[{'head': 'jude the obscure', 'type': 'lyrics by', 'tail': 'thomas hardy'}]"
https://m.media-amazon.com/images/I/410sWyj2EcL._SL500_.jpg,"[{'head': 'jude the obscure', 'type': 'composer', 'tail': 'thomas hardy'}]"
https://m.media-amazon.com/images/I/410sWyj2EcL._SL500_.jpg,"[{'head': 'jude the obscure', 'type': 'performer', 'tail': 'thomas hardy'}]"
https://www.hellawella.com/wp-content/uploads/2020/05/Eats_ShreddedWheat_NabiscoAd2-425x339-1.jpg,"[{'head': 'wheat', 'type': 'instance of', 'tail': 'advertisement'}]"
https://www.hellawella.com/wp-content/uploads/2020/05/Eats_ShreddedWheat_NabiscoAd2-425x339-1.jpg,"[{'head': 'wheat', 'type': 'subclass of', 'tail': 'advertisement'}]"
https://www.hellawella.com/wp-content/uploads/2020/05/Eats_ShreddedWheat_NabiscoAd2-425x339-1.jpg,"[{'head': 'shredded wheat', 'type': 'instance of', 'tail': 'advertisement'}]"
https://i.etsystatic.com/11214251/r/il/d036de/2598035652/il_794xN.2598035652_d4ho.jpg,"[{'head': 'gold necklace', 'type': 'depicts', 'tail': 'lion'}]"
https://i.etsystatic.com/11214251/r/il/d036de/2598035652/il_794xN.2598035652_d4ho.jpg,"[{'head': 'necklace', 'type': 'depicts', 'tail': 'lion'}]"
https://i.etsystatic.com/11214251/r/il/d036de/2598035652/il_794xN.2598035652_d4ho.jpg,"[{'head': 'gold', 'type': 'use', 'tail': 'necklace'}]"
https://www.vegkitchen.com/wp-content/uploads/2016/04/Brownie-Nut-Butter-Cups-cropped.jpg,"[{'head': 'cupcake', 'type': 'part of', 'tail': 'table'}]"
https://www.vegkitchen.com/wp-content/uploads/2016/04/Brownie-Nut-Butter-Cups-cropped.jpg,"[{'head': 'cupcakes', 'type': 'part of', 'tail': 'table'}]"
https://www.vegkitchen.com/wp-content/uploads/2016/04/Brownie-Nut-Butter-Cups-cropped.jpg,"[{'head': 'cupcakes', 'type': 'part of', 'tail': 'table'}, {'head': 'table', 'type': 'has part', 'tail': 'cupcakes'}]"
https://cdn.shopify.com/s/files/1/0344/5922/2075/products/R850088_480x480.jpg?v=1615501412,"[{'head': 'mountain bike', 'type': 'subclass of', 'tail': 'bike'}]"
https://cdn.shopify.com/s/files/1/0344/5922/2075/products/R850088_480x480.jpg?v=1615501412,"[{'head': 'mountain bike', 'type': 'instance of', 'tail': 'bike'}]"
https://cdn.shopify.com/s/files/1/0344/5922/2075/products/R850088_480x480.jpg?v=1615501412,"[{'head': 'mountain bike', 'type': 'depicts', 'tail': 'white background'}]"
https://www.faraday.cam.ac.uk/wp-content/uploads/2020/02/Public_Lecture_Kimber19-363x341.jpg,"[{'head': 'cell phone', 'type': 'subclass of', 'tail': 'photo'}]"
https://www.faraday.cam.ac.uk/wp-content/uploads/2020/02/Public_Lecture_Kimber19-363x341.jpg,"[{'head': 'cell phone', 'type': 'instance of', 'tail': 'photo'}]"
https://www.faraday.cam.ac.uk/wp-content/uploads/2020/02/Public_Lecture_Kimber19-363x341.jpg,"[{'head': 'cell phone', 'type': 'use', 'tail': 'photo of a cell phone'}]"
https://images.webfronts.com/cache/mehkohvgrony.jpg?imgeng=/w_500/h_500/m_letterbox_ffffff_100,"[{'head': 'bed', 'type': 'part of', 'tail': 'bedroom'}]"
https://images.webfronts.com/cache/mehkohvgrony.jpg?imgeng=/w_500/h_500/m_letterbox_ffffff_100,"[{'head': 'white bed', 'type': 'part of', 'tail': 'bedroom'}]"
https://images.webfronts.com/cache/mehkohvgrony.jpg?imgeng=/w_500/h_500/m_letterbox_ffffff_100,"[{'head': 'bed', 'type': 'part of', 'tail': 'bed'}]"
https://www.kroger.com/product/images/large/front/0007024230122,"[{'head': 'diamond syrup', 'type': 'has part', 'tail': 'white'}]"
https://www.kroger.com/product/images/large/front/0007024230122,"[{'head': 'diamond syrup', 'type': 'has part', 'tail': 'red'}]"
https://www.kroger.com/product/images/large/front/0007024230122,"[{'head': 'red diamond syrup', 'type': 'has part', 'tail': 'white'}]"
https://media.architecturaldigest.com/photos/5c3de44e48452908810a07cb/2:1/w_1280%2Cc_limit/CK.jpg,"[{'head': 'Yellow Taxi', 'type': 'subclass of', 'tail': 'taxi'}]"
https://media.architecturaldigest.com/photos/5c3de44e48452908810a07cb/2:1/w_1280%2Cc_limit/CK.jpg,"[{'head': 'yellow taxi', 'type': 'part of', 'tail': 'street'}]"
https://media.architecturaldigest.com/photos/5c3de44e48452908810a07cb/2:1/w_1280%2Cc_limit/CK.jpg,"[{'head': 'Yellow Taxi', 'type': 'product or material produced', 'tail': 'yellow taxi'}]"
