pca_x,pca_y,pca_z
0.83287305,0.5726985,-0.21365358
-0.8527929,-0.44626966,0.02469596
0.4836532,-0.61699003,-0.62632746
-0.74869615,-0.49135786,0.3726081
-0.6958371,0.20955284,-0.6411626
0.4186705,0.19162957,-0.89584434
-0.77209073,0.5989568,0.039729726
0.6510535,0.17496201,-0.76117444
-0.89541715,0.0966695,-0.34242725
0.79540426,-0.23689066,0.61233157
-0.43514222,0.8757791,-0.16297925
-0.559753,0.80734974,0.11369711
-0.66111916,0.71892256,0.1223871
-0.58845705,0.7905401,-0.035590187
-0.6794442,0.70896757,0.035665262
-0.67365426,0.71277744,-0.049299415
-0.5628325,0.8058091,-0.08679127
-0.6924871,0.6957491,0.018806532
-0.6892646,0.66437006,0.22657847
-0.66379,0.720085,0.09502988
-0.6897036,0.69490474,0.08302231
-0.67826754,0.71028364,-0.011609641
-0.4627775,0.8206219,0.31953588
-0.6442039,0.7149243,0.21409658
0.5610281,-0.7551199,-0.3605522
-0.8042897,-0.47739422,0.24419029
-0.39635125,0.9125733,-0.0017922994
-0.5354273,0.82774293,0.089076415
0.6008945,0.6974607,0.46890208
0.719811,-0.69193566,0.20686135
-0.1508099,0.52891743,0.84516484
0.799015,-0.60639197,0.20282157
0.3694123,0.58228976,-0.73984164
0.31849822,-0.58051157,-0.7448403
-0.6677369,0.61881757,0.37775064
0.43220097,0.25420865,0.89594615
0.76432,-0.5102644,-0.4348418
-0.7673953,0.604123,-0.03789201
-0.67203826,-0.38208947,-0.5757537
-0.7758809,-0.5718775,-0.009123208
0.42562443,0.30121815,0.8846375
0.6271379,0.536826,-0.60167086
0.41985515,-0.1428926,-0.9002231
0.4366644,0.07323364,-0.90388775
0.59163505,0.022049733,-0.8212073
0.5151163,-0.18808758,-0.8446611
0.37098208,0.9505168,-0.06420138
-0.9497675,0.014886533,0.1763478
-0.5011836,0.8538058,0.04093249
-0.8522073,0.26888785,0.3898711
-0.8556862,-0.3929535,0.21282351
0.94241464,0.4232,-0.08580306
-0.83402467,0.48573786,-0.12066444
0.85854656,0.29957226,-0.48032972
-0.6115685,0.60465133,-0.46701735
0.8773406,-0.3731295,-0.37053278
-0.63607544,-0.7189761,0.1320039
-0.7112568,0.5653925,0.37625015
-0.7056165,0.33877927,-0.5745197
-0.7115982,0.27610937,-0.5981723
1.0128409,0.11160732,0.20113103
0.8803391,0.53896207,0.105678044
0.57168096,0.7935439,0.32857603
1.0293473,0.111993715,-0.05123404
-0.77016604,-0.57770944,0.06327503
0.6653278,-0.54754555,-0.5302504
0.6897242,0.64081395,-0.409852
0.877883,-0.15468615,-0.5037573
0.3955361,-0.74073315,-0.5425204
-0.1332288,-0.34124303,0.9307552
-0.16186897,0.73242766,-0.6532584
0.6535246,-0.14180009,-0.7614429
-0.62629557,0.23399675,-0.7046083
0.9738594,-0.32590836,0.09699929
-0.66739047,-0.481767,-0.50127685
-0.77998585,-0.5305284,0.21088116
0.3761693,-0.2713798,0.9074485
