pca_x,pca_y,pca_z
1.009254,0.14404815,0.08965131
-0.93425936,0.26739377,-0.11719953
1.0225452,0.023475323,-0.0044031176
-0.96915704,-0.12025449,-0.020305123
-0.05792849,1.0002649,-0.03018618
0.5897921,0.031067355,-0.8188721
-0.15576537,-0.9798027,0.007424802
0.67687297,-0.12227174,-0.74138016
-0.8615437,0.23668319,0.4092434
0.8064549,-0.4308711,0.4478043
-0.3801883,0.43125156,0.8138273
-0.55406976,0.54802024,0.61384463
-0.60927975,0.22783267,0.74632555
-0.43449554,0.31833565,0.8363639
-0.38126907,0.5984819,0.6997273
-0.20616361,0.57757425,0.79099464
-0.5280761,0.4209469,0.7274594
-0.50618887,0.24885836,0.8169838
-0.5215216,0.2220045,0.8144983
-0.43921456,0.48474884,0.7497571
-0.3684361,0.5972161,0.70809615
-0.24793695,0.6212396,0.74323297
-0.5245851,0.43053803,0.72451174
-0.5229855,0.3254499,0.77827764
0.39581087,-0.88573706,-0.2582585
-0.73214763,-0.5372629,-0.36574098
-0.31310958,-0.9376915,0.017219568
-0.18845944,-0.9040449,0.3657872
0.24810335,0.95778745,-0.19499718
-0.62970155,-0.20221305,0.7335709
0.13101798,-0.98912823,-0.037183203
0.6647444,0.48929614,0.59809005
0.508578,-0.45382336,-0.7401051
0.81524295,0.2958465,0.5400082
-0.27081764,-0.9517619,0.013578234
0.8428811,-0.38853317,0.42060798
0.37954864,-0.868895,-0.3280906
-0.042977158,-0.9936765,0.012600096
0.455701,0.5480248,-0.7144599
-0.9682103,-0.103600755,-0.07531171
0.25041285,-0.9116032,0.33547777
0.26450872,0.9482901,-0.219479
0.46723354,0.30192795,0.8492372
0.6082184,0.55561143,0.5986247
0.65753096,0.55471975,0.54653937
0.6074902,0.37793618,0.72436845
0.9545527,0.29545465,-0.2121955
-0.5919142,0.7921557,-0.029852884
-0.20519039,-0.94482,0.2224161
-0.26710632,0.9189528,-0.27679315
-0.8802149,-0.09297809,-0.4141653
-0.010072905,0.63006127,-0.7747933
-0.46913606,0.8687287,0.10681492
0.9665537,-0.19368877,-0.26045397
-0.094359405,-0.8970343,0.4217518
0.095177576,-0.82299346,-0.5529522
-0.89442223,-0.37994295,-0.1016712
-0.19086382,-0.97093624,-0.055726636
-0.3393131,0.8645055,-0.35427833
-0.55693424,0.7360248,-0.3537541
-0.86492616,-0.2714366,-0.364473
1.0208006,0.043736666,0.053038087
-0.836174,-0.4487372,-0.23462752
0.2632939,0.60396427,-0.75872374
-0.7847127,-0.493441,-0.3124664
