tsne_x,tsne_y,tsne_z
7.5760527,6.1664324,-2.1552656
-10.623923,-5.4494205,-0.25852323
4.6058517,-6.0122213,-6.9027095
-8.19688,-4.811797,4.560423
-7.964577,3.8992949,-8.661517
3.6815057,2.9827642,-8.849501
-8.221941,7.9022627,0.77088326
6.2421174,2.6074562,-7.7707753
-10.184302,2.3186939,-5.316698
8.645756,-1.9864802,5.4880476
-3.3460715,9.814738,-2.1059368
-4.3118396,9.165221,0.7979712
-6.052937,8.529948,2.0317454
-5.026364,9.741782,-0.6398013
-6.544016,9.042114,0.923953
-6.628533,9.450462,-0.4766383
-4.7625475,9.816637,-1.2097421
-6.7416267,9.071828,0.66569114
-6.2931705,7.4494777,3.188431
-6.167713,8.713567,1.7293174
-6.5511484,8.686005,1.6111698
-6.635519,9.310766,0.113168284
-4.1493382,7.192187,3.352934
-5.7001376,7.7840347,3.0022795
5.884736,-7.9338055,-4.06145
-9.188088,-5.560207,3.4439857
-2.7990012,9.4510565,-0.3368729
-4.1023636,9.282982,0.51700026
6.498453,6.826497,4.758675
8.883394,-7.459275,2.1046224
0.17664072,4.7381845,9.239821
9.855862,-6.341052,2.1677287
3.5740266,6.4021015,-6.4979258
2.6945937,-5.2429194,-7.213732
-5.926508,6.1099443,4.1498413
6.296842,2.4125369,9.326814
8.108043,-4.7899065,-4.958464
-8.388151,8.202037,-0.36277243
-4.288606,-6.10393,-5.6198215
-9.751925,-8.609791,-0.6866942
6.164923,2.8330986,9.241144
5.8400073,5.7531085,-5.394172
3.5899434,-0.72939956,-9.110241
3.7169027,1.765129,-9.169438
5.507928,1.1571455,-8.700086
4.5781813,-1.4365237,-8.977735
3.3862538,8.985974,0.005602295
-12.627675,0.9306576,2.0491087
-3.8610127,9.396546,0.1716576
-9.071535,2.8787727,4.6476827
-10.20201,-4.3172665,2.349503
9.697523,4.1014047,-0.8393188
-9.219991,6.891663,-1.1061876
8.153149,3.4531963,-4.492464
-5.8933787,7.9163513,-5.739714
8.891792,-3.388746,-4.499063
-5.327384,-10.002264,2.0757809
-6.4573307,5.792079,4.184222
-7.670481,5.576272,-7.4744434
-8.071234,4.8886704,-7.953066
10.3942175,0.5556666,0.8666121
9.147448,5.330932,1.4470645
5.730126,7.8285193,3.8488934
10.440829,1.331301,-1.1584095
-9.761202,-8.714274,0.944046
6.9058676,-5.312392,-5.896811
6.481339,6.3721604,-3.551979
8.763509,-1.2301327,-5.372416
3.8031814,-7.0733113,-5.782572
1.9942961,-2.4097075,9.708106
-1.001505,8.354064,-6.6303916
6.3570967,-0.94099385,-8.546875
-6.7237306,3.874336,-9.200188
10.560308,-2.950983,0.5291935
-4.3297496,-6.358923,-5.4216194
-9.007637,-6.434635,3.3650322
4.857876,-2.6523983,8.889318
-8.78108,-5.7217283,-3.3216574
7.5214524,7.375967,0.3919202
7.490612,7.625969,1.223629
-5.209804,6.627682,3.9561265
8.769244,3.078648,4.591647
6.5262384,1.2516539,9.306979
9.383717,-0.89132476,4.099119
8.574638,-6.038113,4.3168936
7.870029,2.3986764,6.502007
6.841433,5.854059,-3.8189974
-11.929678,3.215654,1.3198891
9.126399,-1.9285103,-4.485802
-11.079313,3.7986512,2.441352
-2.3926,9.755721,-3.6459126
4.6761866,-8.27962,-3.8360126
-6.2715526,9.595866,-0.75151217
-6.908996,0.92738557,5.8854704
4.401115,-3.0998166,8.846052
6.9350934,8.040857,1.0154877
9.41549,0.78256476,3.7962954
8.612938,-1.6564568,-5.6593947
5.468545,3.6596885,-7.934924
-2.0729618,-7.1284533,-4.9558854
4.134243,-6.469692,-6.5375023
3.1140208,-0.22879489,10.709901
4.3672633,1.6876276,10.97882
6.4729614,-9.095298,1.851612
5.409226,-8.030873,-4.1147203
6.0516577,-1.1005892,-8.700797
3.9129677,-8.258766,-3.9762912
-2.0296407,8.475538,-6.8355412
-1.9534637,9.091615,-5.796321
8.977745,5.5167575,2.0633657
10.349331,-4.6428685,2.2157276
10.294384,-5.5385675,1.6703199
7.0060925,-2.6083257,-7.7455106
-8.781336,-9.702738,0.8353946
-6.1071362,6.1143656,-7.8514857
-5.974783,8.97024,-3.5374668
