tsne_x,tsne_y,tsne_z
10.500671,0.5900873,-0.06977996
-12.301951,4.218162,-0.6772421
10.312159,-0.48900667,-0.92448306
-12.271954,-0.6384626,1.311814
-0.7048962,10.320987,1.10379
4.92483,-0.17668238,-8.837871
-1.2820026,-10.837651,-0.07583924
5.8571935,-1.8578353,-8.30119
-10.069518,3.0681505,3.569303
8.639325,-5.1173053,3.6186175
-3.2143047,3.9493947,9.185833
-4.3873324,6.0841675,7.6997643
-5.5604825,2.140137,7.8282285
-4.065824,2.9976623,8.908401
-2.910411,5.9395857,8.226513
-1.1003299,4.9541764,8.997985
-4.7221394,4.3017697,8.21537
-4.865642,2.6221476,8.4146595
-4.9959397,2.4605787,8.316095
-3.8078349,4.7941647,8.580776
-2.7734082,5.8611417,8.307893
-1.3217221,5.347916,8.774232
-4.6736417,4.422416,8.209181
-4.877946,3.2201128,8.350965
4.1414742,-9.468008,-3.2639236
-7.0513988,-6.4895916,-3.7620075
-2.4892712,-10.508819,0.24284132
-1.2929194,-10.618328,3.6629856
2.8587296,8.892511,-1.2266697
-5.249254,-1.6620866,7.031069
1.782171,-10.506799,-0.7097089
7.167266,4.3482313,5.861261
3.576087,-4.573472,-7.2381444
9.065735,2.4788287,5.9679785
-2.2639406,-10.592176,0.1760474
9.016516,-4.7366743,3.4204772
3.8782525,-9.134721,-3.8248076
-0.07268499,-10.864211,-0.2032943
4.4792614,5.7713904,-6.905492
-12.423939,-0.47681427,0.59173745
4.034632,-9.005916,2.6545734
2.933679,8.821766,-1.431566
5.1122823,2.1294794,7.790832
6.799079,4.773825,5.670365
7.097634,4.755917,5.5352325
6.2318883,2.9593458,7.0650926
10.111135,1.7698438,-3.1048028
-6.847643,10.584029,1.0364809
-1.5154672,-10.8124895,2.3126938
-2.823167,11.484979,-1.6485201
-10.745765,-0.81871545,-4.12065
0.731511,4.9714494,-7.179779
-5.0605564,10.553032,2.1205678
9.404281,-2.4823737,-2.516743
-0.7297636,-10.365886,3.9869983
1.0499411,-7.78787,-4.768743
-11.417593,-5.6884284,0.4712955
-1.6970696,-10.665465,-0.6428267
-3.2933648,11.517724,-2.186884
-6.5931134,10.427714,-3.1637475
-10.485758,-3.0859723,-4.257832
10.3976,-0.34590647,-0.4920356
-10.078129,-7.0239105,-2.4181848
2.595017,5.88563,-6.8311834
-8.252436,-6.699635,-3.6667988
9.344717,-0.2826587,-6.0411034
7.181484,-5.086653,-4.138693
10.262329,-2.777397,2.8615072
1.8951966,-3.394869,-7.9377017
10.345846,0.820628,-2.0080402
-0.8762923,1.9661878,9.547912
8.833107,0.34803134,-7.116352
-3.3670235,11.515345,-1.4091542
4.007584,7.923628,3.3785293
-11.802552,0.06505255,-2.610622
-11.559088,1.7143915,1.9116118
7.760913,-3.001044,-6.0954237
-12.487455,2.9880478,-1.7125986
10.401258,2.9129071,3.289034
10.836387,-0.084515244,3.327457
-5.9708023,10.994856,-2.3348503
1.9038709,-5.2324033,-6.8285117
-0.42368874,-10.702761,-0.994041
7.823628,4.5902534,-6.5816035
8.519784,-4.3515625,-2.1684186
8.478255,-2.8391957,6.0957513
10.27042,0.56863916,-2.6164408
-11.642816,0.24578534,-2.9041054
8.009382,-5.5787406,4.0799046
-6.637047,10.590815,-2.7581134
2.0010169,-4.7792206,7.4967494
10.73334,1.9328685,3.3231199
2.700991,-10.302384,-0.83345675
-7.227118,-0.6001842,6.151645
1.6433159,-7.803749,-4.846425
3.5657117,-0.028190626,8.522148
8.583294,-5.266634,-0.35489368
10.930286,-0.0038578396,2.7762253
-0.06480771,-0.42015547,8.962362
-8.925214,-6.8225813,0.6922474
5.7326436,-0.30098027,-8.701652
3.611606,-5.0200276,-6.89578
6.1920657,-5.409146,-5.045048
0.5854741,-0.6071358,8.849965
5.0391197,1.8760375,7.8857875
10.179257,-2.5851727,3.4806015
5.793036,0.70154357,7.93324
-0.23524685,2.9039488,9.405375
-0.7573874,0.8205042,9.319676
9.803431,1.2908978,5.5737185
-1.1185011,-3.6073582,7.980895
4.9787965,8.523045,0.14038658
-3.4826727,-0.92104554,8.203589
-9.961565,-6.7919526,-2.9493089
-1.5828918,-8.249882,-3.6694603
-3.1805532,7.230981,7.1271605
10.649867,2.298187,3.2231092
7.4292493,5.5629454,-5.9296293
8.25702,0.45971918,-7.6168733
5.7974553,5.3505783,-6.961094
-12.498906,-4.8879304,-1.171581
0.96208113,2.970129,-8.242456
-0.032498512,-6.8909154,-5.274204
-1.4669193,10.226651,2.3931103
6.5715723,-5.2549667,-4.825177
4.58606,-6.6973596,-5.206415
-3.971347,-1.9915276,7.6039414
-3.0670695,11.164881,0.49987295
7.6856813,-6.0521235,3.797399
6.996244,-6.524176,4.001918
3.671725,0.122628145,8.508079
4.406125,0.49561623,8.349337
3.05493,0.5433407,8.633684
4.2928195,0.8412878,8.328687
5.63349,0.82195425,7.962517
7.7978325,3.6961067,6.052371
9.002631,2.2590485,6.122532
9.803686,-0.056435727,5.406646
-7.6592264,10.333133,-0.016002683
-10.879456,-6.711862,-1.1312326
-0.8203827,-10.563595,-1.3090935
-11.871386,-2.1858997,-3.000936
8.68616,-2.7029486,5.93902
4.0493727,-5.2789803,-6.5436506
9.417781,5.485956,0.68191546
8.074991,-2.5922706,-6.180948
-1.8918344,9.705804,3.7705932
2.4188583,-3.7459414,-7.804131
8.638949,-5.235615,3.2965395
-2.306972,-7.8275476,-3.829606
9.735217,-0.6729149,5.3683558
6.5938473,1.285884,-8.572071
-1.3297447,-10.718605,-0.8253124
4.3244977,0.5653847,8.359806
6.545939,4.8494773,-7.0998173
-4.681314,11.278623,0.22372568
2.649965,7.911556,-3.7897053
9.421705,3.3886478,-4.352899
-8.156145,-2.173624,4.970366
10.437596,2.8772967,1.0574522
-11.16035,5.7404075,-2.1315243
-11.95081,4.7582498,0.34040707
-8.721924,-6.8470063,0.7149894
-10.049352,-7.0407295,-2.4056933
-2.702245,-4.310259,7.151794
-10.104177,-7.1792645,-1.6617169
-10.316037,-7.009635,-0.79026276
5.792656,-8.211807,2.1792681
-3.5671573,-3.2191474,-7.0059705
-10.472114,3.4777672,-4.529502
-7.684235,10.261854,0.35090116
8.715231,-4.8654532,3.9101832
6.0057564,6.7767487,-5.137889
3.407474,8.9169235,1.0930916
-10.805401,4.3548408,2.3611405
-9.49152,8.224251,1.1163809
6.6287284,-7.8658047,-3.1088183
7.725033,5.1385136,-6.0984564
6.198576,-7.1186194,3.8760452
5.905898,8.184299,0.4747425
-3.114224,-0.8372491,8.361164
-4.100949,-2.9296646,-7.0038133
4.6516666,6.832269,-5.6243052
5.9184375,6.985869,-4.766681
6.4134946,-6.1041427,-4.3976965
6.9812174,-3.475865,-6.3445463
-1.8595091,2.8879719,9.69218
-1.4712269,3.31686,9.635489
-1.7302516,2.9927733,9.696523
6.9949937,5.7062693,-6.1648936
-3.6759245,-2.1869226,7.6636505
