umap_x,umap_y,umap_z
-1.4126041,4.9494314,6.100558
12.519839,4.1117525,5.2220635
-1.452365,5.1454787,6.301702
11.623694,6.396995,4.8073316
10.22398,-0.91091174,5.3218293
0.22317506,5.5534964,9.561659
1.9202497,10.668602,6.0881414
-0.15593924,5.939028,9.151606
11.746526,4.660025,4.570082
-0.97852117,6.379421,4.4201107
6.8593245,4.632442,0.10421178
7.4113092,4.1014,0.20337202
7.322516,5.349409,0.48420754
6.907487,4.943268,0.18830414
7.080842,4.0087295,0.15779257
6.349578,4.238329,0.03246207
7.2559657,4.7808256,0.27684793
7.183592,5.1046867,0.34456843
7.19124,5.12553,0.35391742
7.058801,4.501585,0.15812714
7.032253,4.0399547,0.14791986
6.471294,4.2036033,0.054446906
7.2346635,4.7712536,0.26414183
7.205626,5.022595,0.32270333
0.3573654,9.0887165,6.9298496
10.263236,9.494537,6.374518
2.2338886,10.805579,6.1660233
2.566671,11.334603,5.3218775
1.6170654,0.11788195,5.60603
7.070503,7.0247903,1.0582933
1.0221413,9.914777,6.1723275
0.5105965,2.6683404,3.0388048
0.7910961,7.5813923,8.736039
0.07450595,3.2885778,3.0114574
2.2009342,10.782187,6.1814933
-1.0200329,6.1806417,4.424687
0.43593997,9.072555,7.035996
1.6217127,10.450626,6.074421
1.4315306,1.6226572,8.797897
11.691228,6.411684,4.917818
-0.31300268,8.357604,4.717583
1.6200614,0.11840621,5.6385126
1.2311678,3.2452776,2.1331675
0.5992179,2.604011,3.0266702
0.5028798,2.5977206,3.089945
0.86831933,3.0180643,2.5205264
-1.5746361,4.5914283,7.284611
11.54643,0.9202318,5.054892
2.3563852,11.077954,5.6812577
11.061326,-0.28985038,5.5590105
11.598328,7.693442,6.246335
1.7938144,3.160789,9.865215
11.233694,0.5697294,4.9578695
-1.2470355,5.9432797,6.466874
2.547886,11.409182,5.219375
1.215207,8.935009,7.7827663
10.6274395,8.515282,4.629966
2.0539758,10.654759,6.2835355
11.187428,-0.17453122,5.6356564
12.053799,0.7515334,6.0382113
11.41127,8.150386,6.256723
-1.4212581,5.144407,6.16156
10.687045,9.200346,5.448199
1.8396021,2.1503563,9.306882
10.47043,9.482241,6.300404
-1.1877892,5.088111,8.314889
-0.48229414,7.214083,7.2557764
-1.1059848,5.4642305,4.523569
1.2639327,7.4738317,9.182974
-1.609364,4.8065567,6.8659325
5.719813,4.830164,0.010963238
-1.1186044,5.004356,8.5586605
11.077969,-0.2482618,5.54
1.081553,0.87802833,4.3704395
11.831765,6.9319515,5.6758933
11.781599,5.272887,4.7116113
-0.65319276,6.1580553,8.312062
12.685293,4.5565753,5.4866962
-0.4959535,3.0940714,3.856714
-0.90214646,4.22536,4.0815873
11.78693,0.4608566,5.8158545
1.1743915,7.9835763,8.708088
1.6565536,10.359842,6.2856917
0.8233659,1.236981,8.459666
-0.941271,6.725555,6.354563
-0.77392846,5.489717,3.7482271
-1.6015557,4.8518806,6.936649
11.837317,6.964786,5.7778535
-0.88703716,6.688764,4.254892
11.98717,0.76769584,5.912408
4.4514775,7.5971932,0.3136004
-0.61780304,3.3869698,3.901779
0.75795376,9.690225,6.190823
7.6572127,6.8974423,1.3163335
1.1353878,8.8634405,7.809089
1.9691682,3.6989765,1.4674838
-0.96183896,6.881647,5.8776917
-0.89876133,4.1303487,4.122309
5.2838306,5.481697,0.15473612
10.043514,9.141621,4.904606
0.0017930258,5.4591465,9.481589
0.7706123,7.7065773,8.616901
-0.2566315,7.4517946,7.5068803
5.2179565,5.50563,0.17077243
1.2847046,3.2776337,2.0791252
-1.0390382,5.3904853,4.3424463
1.1762484,3.523915,2.0182707
5.729635,4.5417705,0.056601513
5.5339317,5.124829,0.08153615
